screen_name,tweet,created_at
realDonaldTrump,"A horrible Governor. Crime is taking over NYC &amp; State, everyone is leaving. He is after the NRA - They should move to Texas or elsewhere, and must get tough. Cuomo killed 11,000 people in nursing homes alone. Crooked &amp; Incompetent! https://t.co/d4hZDAvdWo",8/18/2020 14:18
realDonaldTrump,"John Kasich did a bad job in Ohio, ran for President and was easy to beat, and now went to the other side desperate for relevance. Good Job by Chris C in exposing yet another loser! https://t.co/WZw2U7lcrf",8/18/2020 12:42
realDonaldTrump,"Many thousands of people work for our government. With that said, a former DISGRUNTLED EMPLOYEE named Miles Taylor, who I do not know (never heard of him), said he left &amp; is on the open arms Fake News circuit. Said to be a real “stiff”. They will take anyone against us!",8/18/2020 12:30
realDonaldTrump,"The ObamaBiden Administration was the most corrupt in history, including the fact that they got caught SPYING ON MY CAMPAIGN, the biggest political scandal in the history of our Country. It’s called Treason, and more. Thanks for your very kind words Michelle!",8/18/2020 11:16
realDonaldTrump,"Looking back into history, the response by the ObamaBiden team to the H1N1 Swine Flu was considered a weak and pathetic one. Check out the polling, it’s really bad. The big difference is that they got a free pass from the Corrupt Fake News Media!",8/18/2020 11:10
realDonaldTrump,"....My Administration and I built the greatest economy in history, of any country, turned it off, saved millions of lives, and now am building an even greater economy than it was before. Jobs are flowing, NASDAQ is already at a record high, the rest to follow. Sit back &amp; watch!",8/18/2020 11:00
realDonaldTrump,"Somebody please explain to @MichelleObama that Donald J. Trump would not be here, in the beautiful White House, if it weren’t for the job done by your husband, Barack Obama. Biden was merely an afterthought, a good reason for that very late &amp;  unenthusiastic endorsement.....",8/18/2020 11:00
realDonaldTrump,Thank you. Will never let you down! https://t.co/9iB33QFliK,8/18/2020 3:54
realDonaldTrump,"In my Friday evening @NRO Corner column on Clinesmith’s Russiagate guilty plea, some memories of the Schiff Memo and the counterintelligence -v- criminal issue ...  https://t.co/aoGJxjiGpe",8/18/2020 3:53
realDonaldTrump,"NPR, which was a co-conspirator in the Russia collusion hoax, redefines Clinesmith pleading guilty to falsifying evidence against Trump affiliate Carter Page as something ""related to information-gathering."" Our media are completely and utterly corrupt. https://t.co/m0Y0zqFC8A",8/18/2020 3:49
realDonaldTrump,The Russia-Obsessed Media Does Its Best to Ignore Clinesmith’s Guilty Plea https://t.co/VWdoIyXZy1,8/18/2020 3:48
realDonaldTrump,"PREVIEW TODAY'S #COVID19 &amp; #Markets MISSIVE: 
Arizona has beaten COVID &amp; is back to pre-summer levels. Where is the media? Arizona went through troubling scare this summer, which was hardly lacking coverage. To cover one side of this mountain &amp; not the other is journalistic fraud https://t.co/rDRNRUmL8H",8/18/2020 3:47
realDonaldTrump,"AND THAT’S THE WAY IT IS...
Thousands of Seattle Democrats gather to demand mail-in voting because it’s too dangerous to vote  in-person. https://t.co/tcC5LUAOaF",8/18/2020 3:46
realDonaldTrump,"Michael Moore, just now on MSNBC, said he was “shocked” that Biden didn’t “swing to the right” and pick Susan Rice, and instead “swung to the left” and picked Kamala Harris.",8/18/2020 3:39
realDonaldTrump,"No, the Postal Service Isn’t Stealing the Election https://t.co/Qp3zNkIGT7",8/18/2020 3:38
realDonaldTrump,Democrats should be deeply embarrassed that their leadership has embraced conspiratorial claims about the USPS. https://t.co/OD5UdkkPM5 via @WSJ,8/18/2020 3:38
realDonaldTrump,"Coumo ""Our way worked in New York"" Seriously?!?! I don't want any part of that way... https://t.co/110hANCGVp",8/18/2020 3:36
realDonaldTrump,"Hey @NYGovCuomo did Donald Trump make you keep  schools open as long as you did? Did Trump make you keep the subways open w/o cleaning them? Did Trump make you say ""fear is worse than the virus"" 3/19? Did he tell you to force nursing homes to accept Covid patients 3/25?",8/18/2020 3:35
realDonaldTrump,"Where did this guy go?

‘He Has Delivered for New York': Cuomo Praises Trump's Coronavirus Response https://t.co/jV8MCLP59K",8/18/2020 3:35
realDonaldTrump,Andrew Cuomo's ego trip continues: He gave a 5 minute speech and didn’t mention Joe Biden until last 20 seconds or so.,8/18/2020 3:34
realDonaldTrump,"Insane

Biden praises Cuomo's ""leadership,"" as his state is first in the nation in coronavirus deaths and second in deaths per capita https://t.co/qrH9TTEVhR",8/18/2020 3:33
realDonaldTrump,"Yes, the DNC just featured a registered foreign lobbyist for Russia as one of its speakers

https://t.co/sFDanRyOjX https://t.co/e1A3ZiNm9f",8/18/2020 3:33
realDonaldTrump,Here's John Kasich calling Joe Biden a liar in 2012. #DemConvention https://t.co/ep8eUQUHal,8/18/2020 3:33
